,t,vx1,vx2,vy1,vy2
99,0.99,2.3573252884282625,2.1382635631961886,-3.966595712821112,-4.610595668613752
100,1.0,2.540903506485713,2.2326024161204385,-3.8581753967626744,-4.74108086297056
101,1.01,2.7218657609168626,2.31567920150806,-3.7439551972106675,-4.868555954553564
102,1.02,2.9012707271155986,2.386603217479252,-3.6248594597841355,-4.9926730437441735
103,1.03,3.080430718277457,2.4445623606349014,-3.501577922929188,-5.112976237874598
104,1.04,3.260897216522488,2.4887836044097145,-3.374528655160797,-5.228869035661525
105,1.05,3.444455280845357,2.518483568229442,-3.2438253335108276,-5.339572457444988
106,1.06,3.6331306659604325,2.532808686170412,-3.109244442589204,-5.444068804521686
107,1.07,3.829213194449162,2.530763196812943,-2.9701864836183676,-5.541023374744999
108,1.08,4.035299605804308,2.5111212628257147,-2.8256234330455934,-5.6286723800461065
109,1.09,4.2543588483618064,2.472317010481883,-2.6740222143392933,-5.704658961856108
110,1.1,4.4898219667287576,2.412303066784948,-2.513230131998387,-5.765788453144943
111,1.11,4.745695187276655,2.328363570437894,-2.340302119922665,-5.807655751838038
112,1.12,5.0266855572707545,2.2168629100752835,-2.1512406403407622,-5.824066892122565
113,1.1300000000000001,5.338302799563681,2.0729079924648834,-1.9406062965978965,-5.806124448921763
114,1.1400000000000001,5.686835053776084,1.8899083343880902,-1.7009434453716277,-5.740760180442901
115,1.1500000000000001,6.078930655741279,1.6590612729773753,-1.4219652016797446,-5.608370131409336
116,1.16,6.520114438351832,1.368950721675927,-1.0895168230292809,-5.379081833186795
117,1.17,7.010652917596987,1.0059447110265678,-0.6846788449317865,-5.007337019293033
118,1.18,7.535481273088671,0.5574116585992543,-0.18455770010568634,-4.4261313660018455
119,1.19,8.0437921650276,0.02233887360824305,0.4306499045658741,-3.548986950170369
120,1.2,8.422911473528496,-0.5656772165016406,1.1559818584195198,-2.3039005274141164
121,1.21,8.509902849188101,-1.11647464439487,1.9278167170418323,-0.7259436685104699
122,1.22,8.204545592557675,-1.5152752674306633,2.6260148585854424,0.9640088527037571
123,1.23,7.584780208608595,-1.7128776465017763,3.1541059942326526,2.472544044989159
124,1.24,6.831787293003,-1.750765644693745,3.501312023116831,3.6423909520704094
125,1.25,6.085441923659717,-1.6984220030779733,3.7109296615775906,4.479617679838344
126,1.26,5.407828500572364,-1.607092430653668,3.8307318388737484,5.057166057193594
127,1.27,4.812936830883668,-1.5048517413784799,3.894891401324457,5.448647689750993
128,1.28,4.2951104122755845,-1.4050033957375394,3.9246406931332065,5.7096435098447875
129,1.29,3.8432043086305394,-1.3132129557490475,3.9326543718304436,5.878530748885732
130,1.3,3.4459920252157765,-1.2315161732792506,3.9265006725928524,5.981235951504676
131,1.31,3.093793509125357,-1.1603032738286614,3.9107662227699818,6.035365855946205
132,1.32,2.7787121292472716,-1.0992580065907265,3.88827854908046,6.053073077915208
133,1.33,2.4944350809993963,-1.047793073653716,3.860801957531929,6.042918037627942
134,1.34,2.235942696881738,-1.0052473541420444,3.829438565117178,6.011061735873525
135,1.35,1.9992388764544244,-0.970970403251189,3.7948642038840554,5.962034002627865
136,1.36,1.781131003334113,-0.9443538049934881,3.7574710506593996,5.899236044347864
137,1.37,1.5790586529143522,-0.9248372641024578,3.7174561477822103,5.825274809003094
138,1.3800000000000001,1.3909631496494261,-0.9119030899127869,3.674878319317019,5.742189947384078
139,1.3900000000000001,1.2151889234297553,-0.9050655798642655,3.629696364317597,5.651610831910813
140,1.4000000000000001,1.050408864126195,-0.9038584845876971,3.581796202576975,5.554867165964264
141,1.41,0.895567456533092,-0.9078221519164473,3.531011676512882,5.453068183145946
142,1.42,0.7498368185491113,-0.9164911610864213,3.477141844256581,5.347159929812256
143,1.43,0.612582047371128,-0.9293831181162983,3.419966840871082,5.237967373711328
144,1.44,0.48333280426085157,-0.9459888915741659,3.359263099101696,5.126224909699764
145,1.45,0.3617590138721346,-0.9657648480834488,3.294818683911764,5.012598381961681
146,1.46,0.2476489418088519,-0.9881275397833729,3.226449019010278,4.897700558186752
147,1.47,0.1408882684437187,-1.012451273430566,3.1540124755145698,4.782100947449153
148,1.48,0.0414393538477841,-1.0380690216419155,3.077425485302233,4.666331115308743
149,1.49,-0.05067981791175983,-1.0642770815618685,2.9966765962996007,4.550886360667404
150,1.5,-0.13541713956350473,-1.0903436468959544,2.9118380222807403,4.436224016829006
151,1.51,-0.21270797962669916,-1.1155211751683796,2.8230743109569327,4.322759495503201
152,1.52,-0.28249628748911454,-1.1390622840394633,2.730646512672034,4.210860376619054
