x,y,z
0.997288141,-0.140884768,5.38E-06
0.998315003,-0.132403063,4.88E-06
0.999269546,-0.123911767,4.39E-06
1.000151673,-0.115411491,3.89E-06
1.000961291,-0.106902848,3.39E-06
1.001698312,-0.098386452,2.89E-06
1.002362653,-0.089862917,2.39E-06
1.002954237,-0.08133286,1.89E-06
1.00347299,-0.072796896,1.39E-06
1.003918846,-0.064255644,8.92E-07
1.004291743,-0.055709722,3.92E-07
1.004591623,-0.04715975,-1.07E-07
1.004818435,-0.038606348,-6.07E-07
1.004972132,-0.030050137,-1.11E-06
1.005052672,-0.021491738,-1.61E-06
1.00506002,-0.012931774,-2.11E-06
1.004994145,-0.004370868,-2.61E-06
1.00485502,0.004190357,-3.10E-06
1.004642626,0.012751276,-3.60E-06
1.004356947,0.021311265,-4.10E-06
1.003997973,0.029869699,-4.60E-06
1.003565699,0.038425952,-5.10E-06
1.003060127,0.046979398,-5.60E-06
1.002481262,0.055529412,-6.09E-06
1.001829116,0.064075367,-6.59E-06
1.001103705,0.072616635,-7.09E-06
1.000305051,0.081152591,-7.58E-06
0.999433182,0.089682607,-8.08E-06
0.998488129,0.098206056,-8.57E-06
0.997469931,0.106722311,-9.07E-06
0.996378632,0.115230745,-9.56E-06
0.995214279,0.12373073,-1.01E-05
0.993976928,0.132221639,-1.05E-05
0.992666637,0.140702846,-1.10E-05
0.991283471,0.149173723,-1.15E-05
0.989827501,0.157633644,-1.20E-05
0.988298801,0.166081983,-1.25E-05
0.986697454,0.174518113,-1.30E-05
0.985023545,0.18294141,-1.35E-05
0.983277166,0.191351247,-1.40E-05
0.981458414,0.199747,-1.44E-05
0.979567392,0.208128044,-1.49E-05
0.977604208,0.216493757,-1.54E-05
0.975568975,0.224843513,-1.59E-05
0.973461811,0.233176692,-1.64E-05
0.971282842,0.241492671,-1.69E-05
0.969032197,0.249790829,-1.73E-05
0.96671001,0.258070545,-1.78E-05
0.964316423,0.2663312,-1.83E-05
0.96185158,0.274572176,-1.88E-05
0.959315634,0.282792854,-1.92E-05
0.95670874,0.290992618,-1.97E-05
0.954031061,0.299170852,-2.02E-05
0.951282764,0.307326941,-2.06E-05
0.948464022,0.315460271,-2.11E-05
0.945575013,0.323570231,-2.16E-05
0.942615921,0.331656209,-2.20E-05
0.939586935,0.339717595,-2.25E-05
0.936488249,0.34775378,-2.30E-05
0.933320063,0.355764157,-2.34E-05
0.930082581,0.36374812,-2.39E-05
